  | Metric             | 20 MHz      | 40 MHz       | Winner     |
  |--------------------|-------------|--------------|------------|
  | Overall stddev     | ±218µs      | ±216µs       | Tie        |
  | 5min EMA           | 31µs        | 22µs         | 40 MHz ✓✓  |
  | 15min EMA          | 1290µs      | 1291µs       | Tie        |
  | 30min EMA          | 3402µs      | 3373µs       | Tie        |
  | Current tight lock | 508s (8m)   | 1975s (33m!) | 40 MHz ✓✓✓ |
  | Max tight lock     | 1224s (20m) | 1580s (26m)  | 40 MHz ✓   |
  | Lock stability     | 11/10       | 4/3          | 40 MHz ✓   |
  | Path delay         | ±55µs       | ±19µs        | 40 MHz ✓✓  |
  | Scale factor       | ±1.0ppm     | ±0.9ppm      | 40 MHz ✓   |
  | HW_TS RX           | 83%         | 88%          | 40 MHz ✓   |
