# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
36523,2.294,-36536997969048,0,0,0.0,999999.0,11.5,-0.122,0,INIT
36524,3.293,-36537008386764,0,0,-10417716.0,inf,12.5,-0.119,0,ACQUIRING
36525,4.294,-36537008375663,0,0,-5203307.5,4257546.5,13.9,-0.139,0,ACQUIRING
36526,5.294,-36537008279002,0,0,-3091876.1,4061230.0,15.3,-0.142,0,ACQUIRING
36527,6.293,-36537008294119,0,0,-2054238.0,3818992.2,15.9,-0.157,0,ACQUIRING
36528,7.298,-36537008191339,0,0,-1449624.5,3615376.2,17.1,-0.165,0,ACQUIRING
36529,8.294,-36537008146822,0,0,-1073604.6,3431676.8,18.1,-0.176,0,ACQUIRING
36530,9.293,-36537008199785,0,0,-831876.1,3260633.2,19.4,-0.103,0,ACQUIRING
36531,10.294,-36537008162350,0,0,-661115.4,3113855.2,21.0,-0.028,0,ACQUIRING
36532,11.294,-36537008112457,0,0,-535400.4,2986419.2,22.2,0.033,0,ACQUIRING
36533,12.294,-36537008049003,0,0,-439608.0,2874751.0,22.8,0.070,0,ACQUIRING
36534,13.293,-36537008092604,0,0,-369112.0,2770318.0,23.2,0.118,0,ACQUIRING
36535,14.293,-36537008029310,0,0,-312249.5,2678268.5,23.5,0.182,0,ACQUIRING
36536,15.293,-36537007954487,0,0,-265448.1,2596433.2,23.7,0.231,0,ACQUIRING
36537,16.294,-36537007963221,0,0,-228609.3,2519832.0,23.8,0.250,0,ACQUIRING
36538,17.299,-36537007878742,0,0,-197053.5,2451299.2,23.8,0.285,0,ACQUIRING
36539,18.294,-36537007865505,0,0,-171274.2,2387186.2,23.6,0.290,0,ACQUIRING
36540,19.293,-36537007854867,0,0,-149992.0,2327152.8,23.5,0.316,0,ACQUIRING
36541,20.294,-36537007807129,0,0,-131636.4,2271803.2,23.5,0.326,0,ACQUIRING
36542,21.294,-36537007776566,0,0,-115945.9,2220120.5,22.9,0.328,0,ACQUIRING
36543,22.294,-36537007752715,0,0,-102515.3,2171592.8,22.8,0.318,0,ACQUIRING
36544,23.294,-36537007697277,0,0,-90556.1,2126555.8,22.7,0.317,0,ACQUIRING
36545,24.295,-36537007664543,0,0,-80116.6,2084144.6,22.1,0.316,0,ACQUIRING
36546,25.295,-36537007696557,0,0,-71597.2,2043047.2,22.0,0.307,0,ACQUIRING
36547,26.294,-36537007625278,0,0,-63646.3,2004982.9,21.4,0.305,0,ACQUIRING
36548,27.297,-36537007653457,0,0,-57091.1,1968097.0,21.1,0.302,0,ACQUIRING
36549,28.294,-36537007557598,0,0,-50674.8,1934153.1,20.5,0.299,0,ACQUIRING
36550,29.294,-36537007540722,0,0,-45039.4,1901685.1,20.3,0.290,0,ACQUIRING
36551,30.294,-36537007552286,0,0,-40261.3,1870270.9,20.1,0.280,0,ACQUIRING
36552,31.294,-36537007452855,0,0,-35476.0,1841234.2,19.5,0.270,0,ACQUIRING
36553,32.294,-36537007425385,0,0,-31178.2,1813425.2,19.5,0.256,0,ACQUIRING
36554,33.295,-36537007394922,0,0,-27287.2,1786801.9,19.5,0.249,0,ACQUIRING
36555,34.295,-36537007360897,0,0,-23734.2,1761324.0,19.3,0.240,0,ACQUIRING
36556,35.295,-36537007322419,0,0,-20458.7,1736957.2,19.2,0.227,0,ACQUIRING
36557,36.295,-36537007287540,0,0,-17449.9,1713583.4,19.0,0.217,0,ACQUIRING
36558,37.296,-36537007316906,0,0,-14969.3,1690554.1,18.6,0.211,0,ACQUIRING
36559,38.295,-36537007253624,0,0,-12535.7,1668725.0,18.6,0.204,0,ACQUIRING
36560,39.295,-36537007253763,0,0,-10416.6,1647462.4,18.6,0.203,0,ACQUIRING
36561,40.295,-36537007164314,0,0,-8223.0,1627483.0,17.8,0.192,0,ACQUIRING
36562,41.296,-36537007180483,0,0,-6371.5,1607821.0,17.7,0.187,0,ACQUIRING
36563,42.295,-36537007088009,0,0,-4433.7,1589336.1,17.6,0.183,0,ACQUIRING
36564,43.296,-36537007080519,0,0,-2720.1,1571266.6,17.5,0.179,0,ACQUIRING
36565,44.296,-36537007100137,0,0,-1288.4,1553443.5,17.1,0.168,0,ACQUIRING
36566,45.296,-36537007052030,0,0,106.4,1536336.9,16.9,0.161,0,ACQUIRING
