# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
40551,0.731,-40553142216636,0,0,20105.4,96091.7,18.5,0.024,0,ACQUIRING
40552,1.733,-40553142157168,0,0,21920.4,93972.2,18.6,0.036,0,ACQUIRING
40553,2.732,-40553142145987,0,0,22897.9,91149.9,18.8,0.060,0,ACQUIRING
40554,3.732,-40553142122460,0,0,23581.1,88418.8,19.0,0.083,0,ACQUIRING
40555,4.732,-40553142115198,0,0,23774.2,85646.3,19.1,0.090,0,ACQUIRING
40556,5.732,-40553142106408,0,0,23675.8,83100.2,19.1,0.118,0,ACQUIRING
40557,6.732,-40553141988066,0,0,24956.5,82979.4,19.1,0.126,0,ACQUIRING
40558,7.733,-40553141961804,0,0,25921.5,82232.6,19.1,0.133,0,ACQUIRING
40559,8.732,-40553141929566,0,0,26721.2,81319.2,19.0,0.125,0,ACQUIRING
40560,9.732,-40553141963321,0,0,26672.2,79364.5,19.0,0.123,0,ACQUIRING
40561,10.733,-40553141909506,0,0,26905.9,77674.7,18.9,0.121,0,ACQUIRING
40562,11.732,-40553141844680,0,0,27437.9,76770.3,19.0,0.117,0,ACQUIRING
40563,12.732,-40553141886382,0,0,27265.3,75250.5,18.9,0.124,0,ACQUIRING
40564,13.732,-40553141805510,0,0,27553.7,74037.6,19.0,0.137,0,ACQUIRING
40565,14.733,-40553141737435,0,0,28084.1,73769.9,19.0,0.134,0,ACQUIRING
40566,15.733,-40553141741239,0,0,28292.1,72592.8,18.9,0.131,0,ACQUIRING
40567,16.733,-40553141752149,0,0,28208.2,71321.7,19.0,0.121,0,ACQUIRING
40568,17.735,-40553141635327,0,0,28675.6,71357.8,19.1,0.113,0,ACQUIRING
40569,18.733,-40553141626469,0,0,28948.0,70637.7,19.2,0.105,0,ACQUIRING
40570,19.733,-40553141592936,0,0,29198.3,69937.3,19.3,0.097,0,ACQUIRING
40571,20.732,-40553141569921,0,0,29375.8,69085.1,19.3,0.090,0,ACQUIRING
40572,21.733,-40553141539518,0,0,29529.5,68236.4,19.4,0.083,0,ACQUIRING
40573,22.733,-40553141494056,0,0,29730.7,67614.2,19.4,0.070,0,ACQUIRING
40574,23.733,-40553141441011,0,0,30000.5,67404.7,19.3,0.061,0,ACQUIRING
40575,24.733,-40553141497940,0,0,29877.9,66633.9,19.1,0.053,0,ACQUIRING
40576,25.733,-40553141428262,0,0,29926.3,65756.6,19.2,0.040,0,ACQUIRING
40577,26.733,-40553141360855,0,0,30104.9,65321.1,19.2,0.037,0,ACQUIRING
40578,27.735,-40553141398980,0,0,30020.9,64582.8,19.3,0.031,0,ACQUIRING
40579,28.734,-40553141305082,0,0,30160.6,64084.2,19.2,0.028,0,ACQUIRING
