# elapsed_s,phase_us,yellow_edge_px,pink_edge_px,file
30.0,,,, scope_0030s.bmp
60.4,1387.2,356,421,scope_0060s.bmp
90.7,1323.2,356,418,scope_0090s.bmp
121.0,1387.2,356,421,scope_0121s.bmp
151.3,1387.2,356,421,scope_0151s.bmp
181.6,1344.5,356,419,scope_0181s.bmp
212.0,1344.5,356,419,scope_0211s.bmp
242.3,1344.5,356,419,scope_0242s.bmp
272.6,1323.2,356,418,scope_0272s.bmp
302.9,1323.2,356,418,scope_0302s.bmp
333.2,1365.9,356,420,scope_0333s.bmp
363.5,1387.2,356,421,scope_0363s.bmp
393.9,1387.2,356,421,scope_0393s.bmp
424.2,1344.5,356,419,scope_0424s.bmp
454.5,1301.8,356,417,scope_0454s.bmp
484.8,1387.2,356,421,scope_0484s.bmp
515.1,1387.2,356,421,scope_0515s.bmp
545.4,1301.8,356,417,scope_0545s.bmp
575.8,1344.5,356,419,scope_0575s.bmp
