# seq,elapsed_s,d_total_ns,d_detrended_ns,offset_ns,drift_ns_per_s,drift_sigma_ns,gm_sigma_ns,gm_a1_ppb,clock_error_ns,sync_state
60336,0.653,-54410736150383,7495,70915,-30722.3,30482.6,10.3,-0.061,-5093,LOCKED
60337,1.652,-54410736152308,34943,98363,-30714.2,30573.8,10.1,-0.091,-76564,LOCKED
60338,2.653,-54410736259864,-40205,23215,-30730.5,30772.1,10.1,-0.104,-40540,LOCKED
60339,3.653,-54410736261794,-9450,53970,-30810.8,30400.2,10.1,-0.105,-14563,LOCKED
60340,4.653,-54410736248749,31465,94885,-30718.7,30565.2,9.7,-0.104,-71875,LOCKED
60341,5.653,-54410736268225,41465,104885,-30726.7,30444.6,9.7,-0.094,-48887,LOCKED
60342,6.653,-54410736384309,-40932,22488,-30804.0,30944.8,9.9,-0.107,-21405,LOCKED
60343,7.653,-54410736374092,-1449,61971,-30726.0,30309.4,10.0,-0.119,12341,LOCKED
60344,8.653,-54410736383469,19035,82455,-30715.2,30369.1,10.6,-0.140,38604,LOCKED
60345,9.653,-54410736410430,19938,83358,-30608.2,29974.7,10.4,-0.142,-65981,LOCKED
60346,10.653,-54410736504815,-40599,22821,-30699.9,30436.1,10.5,-0.151,-20677,LOCKED
60347,11.654,-54410736524575,-27063,36357,-30782.4,30536.2,10.4,-0.160,-12990,LOCKED
60348,12.655,-54410736551017,-20451,38566,-30860.0,30491.4,10.5,-0.167,-7595,LOCKED
60349,13.653,-54410736583599,-21514,37503,-30856.6,30464.6,10.9,-0.180,-6877,LOCKED
60350,14.653,-54410736569909,21938,80955,-30839.3,30565.6,11.3,-0.191,37831,LOCKED
60351,15.654,-54410736606749,13981,72998,-30766.4,30394.2,11.4,-0.200,28890,LOCKED
60352,16.654,-54410736628527,21205,80222,-30715.0,30510.3,11.7,-0.209,29831,LOCKED
60353,17.653,-54410736662301,18259,77276,-30751.0,30154.3,11.7,-0.213,28347,LOCKED
60354,18.654,-54410736687024,22320,81337,-30691.5,30265.1,11.8,-0.218,28914,LOCKED
60355,19.654,-54410736730972,10273,69290,-30768.1,29397.0,11.8,-0.220,-90442,LOCKED
60356,20.654,-54410736839723,-62794,0,-30905.2,30537.3,11.8,-0.224,-62622,LOCKED
60357,21.653,-54410736852493,-42937,19857,-30918.3,30713.8,11.8,-0.224,-43929,LOCKED
60358,22.654,-54410736860869,-18427,44367,-30984.3,30704.7,12.1,-0.229,-15104,LOCKED
60359,23.654,-54410736891408,-17739,45055,-30966.7,30567.1,12.1,-0.231,-12399,LOCKED
60360,24.654,-54410736897543,7027,69821,-30975.2,30539.6,12.2,-0.231,-92557,LOCKED
60361,25.654,-54410736925539,8090,70884,-30894.4,30121.4,12.4,-0.234,25907,LOCKED
60362,26.654,-54410736960509,4566,67360,-30929.2,29945.1,12.6,-0.236,16684,LOCKED
60363,27.654,-54410736990859,3810,66604,-30869.8,29670.6,13.2,-0.240,15157,LOCKED
60364,28.655,-54410737023451,2999,65793,-30919.7,29365.3,13.1,-0.237,5041,LOCKED
60365,29.654,-54410737067962,-10507,52287,-30906.4,29297.0,13.7,-0.239,-4082,LOCKED
60366,30.654,-54410737084954,4422,67216,-30963.6,28867.6,14.2,-0.245,1398,LOCKED
60367,31.655,-54410737125641,-4055,58739,-31018.2,28638.0,14.2,-0.247,-2798,LOCKED
60368,32.655,-54410737143424,7611,70405,-30953.7,28381.7,14.4,-0.251,9003,LOCKED
60369,33.655,-54410737186205,-2752,60042,-31021.1,27967.0,14.5,-0.254,-3502,LOCKED
60370,34.654,-54410737198784,14215,77009,-30972.3,27972.3,14.6,-0.264,-96058,LOCKED
60371,35.654,-54410737320445,-70049,0,-31171.5,28947.1,14.6,-0.274,-70604,LOCKED
60372,36.655,-54410737248603,30465,100514,-31099.3,29205.3,14.4,-0.284,-73810,LOCKED
60373,37.655,-54410737356042,-41701,28348,-31235.1,29351.0,14.6,-0.288,-27598,LOCKED
60374,38.655,-54410737381927,-34514,35535,-31267.9,29645.2,14.7,-0.292,-26994,LOCKED
60375,39.655,-54410737403701,-22265,47784,-31366.2,29442.5,14.9,-0.287,-18295,LOCKED
60376,40.656,-54410737312970,92366,162415,-31153.0,31755.8,15.1,-0.282,3858,LOCKED
60377,41.654,-54410737465432,-26093,43956,-31249.7,31708.8,15.3,-0.285,16641,LOCKED
60378,42.655,-54410737539386,-65295,4754,-31313.1,32686.5,15.1,-0.269,29923,LOCKED
60379,43.655,-54410737573809,-62859,7190,-31481.0,33485.4,15.1,-0.263,-73305,LOCKED
60380,44.655,-54410737566148,-22918,47131,-31482.1,33493.1,15.1,-0.255,-24276,LOCKED
60381,45.655,-54410737608941,-31539,38510,-31561.8,33712.8,15.3,-0.242,-9245,LOCKED
60382,46.655,-54410737607537,814,70863,-31533.1,33646.3,15.0,-0.228,-4271,LOCKED
60383,47.655,-54410737633465,7104,77153,-31578.6,33359.4,15.0,-0.227,18308,LOCKED
60384,48.656,-54410737645075,24714,94763,-31503.8,33439.2,14.8,-0.212,29612,LOCKED
60385,49.655,-54410737668773,30459,100508,-31453.2,33693.4,14.5,-0.195,-68836,LOCKED
60386,50.655,-54410737783527,-47367,22682,-31643.5,33281.5,14.1,-0.162,-40412,LOCKED
60387,51.656,-54410737792106,-22323,47726,-31703.6,33379.7,14.1,-0.155,-21290,LOCKED
60388,52.656,-54410737803038,-2090,67959,-31673.7,33279.0,13.6,-0.129,1881,LOCKED
60389,53.655,-54410737828004,4912,74961,-31696.3,33197.2,13.5,-0.089,7016,LOCKED
60390,54.656,-54410737826934,33793,103842,-31561.6,32998.6,13.1,-0.056,-63740,LOCKED
60391,55.656,-54410737957882,-60316,9733,-31720.6,33748.5,12.9,-0.064,-50962,LOCKED
60392,56.656,-54410737955880,-25515,44534,-31731.1,33822.0,12.7,-0.070,-24172,LOCKED
60393,57.655,-54410737981654,-17137,52912,-31821.6,33577.1,12.0,-0.077,-14348,LOCKED
60394,58.656,-54410738001419,-3516,66533,-31892.7,33201.8,11.9,-0.091,-848,LOCKED
60395,59.656,-54410738024600,6618,76667,-31973.6,32431.2,11.6,-0.093,6306,LOCKED
60396,60.656,-54410738049723,12779,82828,-31961.1,32468.6,10.9,-0.103,14530,LOCKED
60397,61.656,-54410738077008,15504,85553,-31890.9,32366.4,10.5,-0.103,16949,LOCKED
60398,62.658,-54410738105002,19770,89819,-31942.0,31791.0,10.3,-0.096,17554,LOCKED
60399,63.656,-54410738121589,33561,103610,-31921.1,31981.7,10.0,-0.102,32231,LOCKED
60400,64.656,-54410738218506,-30160,39889,-31933.5,32090.5,9.6,-0.100,-36844,LOCKED
60401,65.655,-54410738255500,-34131,35918,-31930.2,32051.9,8.6,-0.103,-45294,LOCKED
60402,66.656,-54410738281481,-24789,45260,-32055.7,31594.8,8.7,-0.096,-36538,LOCKED
60403,67.656,-54410738302073,-12169,57880,-32092.3,31616.0,8.8,-0.088,-20380,LOCKED
60404,68.656,-54410738332791,-10526,59523,-32087.9,31599.1,9.0,-0.083,-21876,LOCKED
60405,69.657,-54410738361776,-7562,62487,-32068.5,31514.2,9.1,-0.070,-18641,LOCKED
60406,70.656,-54410738383560,3967,74016,-32136.3,30982.3,9.2,-0.064,-3498,LOCKED
60407,71.656,-54410738409488,10616,80665,-32175.7,30688.6,9.2,-0.058,1562,LOCKED
60408,72.656,-54410738421290,29951,100000,-32174.6,30700.5,9.7,-0.048,21707,LOCKED
60409,73.656,-54410738448829,33359,103408,-32169.8,30752.5,9.8,-0.045,21799,LOCKED
60410,74.657,-54410738548547,-32441,37608,-32201.7,31006.0,10.2,-0.039,-45913,LOCKED
60411,75.657,-54410738568690,-19372,50677,-32219.1,31090.9,10.6,-0.034,-37737,LOCKED
60412,76.657,-54410738568300,11714,81763,-32163.7,31014.4,11.0,-0.029,1346,LOCKED
60413,77.657,-54410738600190,10539,80588,-32110.1,30927.8,11.0,-0.025,2662,LOCKED
60414,78.657,-54410738627198,13651,83700,-32034.9,30728.2,11.4,-0.022,5803,LOCKED
60415,79.657,-54410738640362,29746,99795,-31948.0,30875.6,11.4,-0.017,22516,LOCKED
60416,80.657,-54410738673854,28186,98235,-31994.2,30217.3,11.6,-0.011,37805,LOCKED
60417,81.657,-54410738739185,-3545,66504,-32067.2,29774.7,11.4,-0.002,42673,LOCKED
60418,82.658,-54410738795950,-25833,44216,-32142.7,29889.6,11.4,-0.004,-48002,LOCKED
60419,83.657,-54410738838954,-33718,36331,-32232.9,30142.5,11.7,-0.004,-40753,LOCKED
60420,84.657,-54410738853469,-15158,54891,-32249.0,30201.8,11.7,-0.005,-61714,LOCKED
60421,85.657,-54410738904893,-32437,37612,-32288.2,30490.6,11.8,-0.006,-45783,LOCKED
60422,86.657,-54410738925691,-19816,50233,-32310.8,30594.6,12.0,-0.008,-36889,LOCKED
60423,87.657,-54410738947206,-8723,61326,-32310.8,30594.8,11.8,-0.017,-22385,LOCKED
60424,88.658,-54410738972142,-1550,68499,-32298.3,30572.8,12.1,-0.021,-3563,LOCKED
60425,89.658,-54410739035313,-30216,39833,-32356.5,30844.2,11.8,-0.033,8772,LOCKED
60426,90.658,-54410738984950,48719,118768,-32251.6,31509.7,11.6,-0.046,36655,LOCKED
60427,91.657,-54410739010644,51509,121558,-32152.2,32269.1,11.8,-0.045,45038,LOCKED
60428,92.658,-54410739126354,-30689,39360,-32167.9,32402.7,11.8,-0.053,-62968,LOCKED
60429,93.657,-54410739081666,42779,112828,-32072.6,32881.9,11.7,-0.061,-70460,LOCKED
60430,94.659,-54410739197198,-39148,30901,-32082.7,32999.0,11.6,-0.071,-12220,LOCKED
60431,95.657,-54410739185167,6486,76535,-32168.2,32146.1,11.6,-0.081,3897,LOCKED
60432,96.658,-54410739213403,8236,78285,-32074.7,31576.5,11.6,-0.081,23263,LOCKED
60433,97.658,-54410739264715,-9392,60657,-32138.2,31391.9,11.5,-0.097,40801,LOCKED
60434,98.658,-54410739315841,-25776,44273,-32223.2,31434.9,11.5,-0.091,56008,LOCKED
60435,99.658,-54410739351434,-26757,43292,-32296.1,31580.2,11.5,-0.089,-50408,LOCKED
60436,100.658,-54410739356592,-3185,66864,-32115.4,28095.8,11.4,-0.090,-17592,LOCKED
60437,101.658,-54410739359562,24500,94549,-32084.5,28276.9,11.6,-0.078,12743,LOCKED
60438,102.658,-54410739353873,59834,129883,-32064.3,28680.5,11.6,-0.084,52568,LOCKED
60439,103.658,-54410739393472,50628,120677,-32066.5,28638.9,11.6,-0.090,-64708,LOCKED
60440,104.659,-54410739468164,7948,77997,-32077.0,28596.4,11.6,-0.097,1449,LOCKED
60441,105.658,-54410739491569,16385,86434,-32092.8,28475.1,11.5,-0.112,7363,LOCKED
60442,106.658,-54410739505340,32218,102267,-32024.1,28793.9,11.4,-0.122,26691,LOCKED
60443,107.658,-54410739517339,48357,118406,-31913.6,29465.9,11.1,-0.118,42951,LOCKED
60444,108.658,-54410739639298,-40235,29814,-31918.0,29527.2,11.0,-0.127,-47679,LOCKED
60445,109.658,-54410739637859,-8001,62048,-31849.4,28845.7,10.9,-0.136,-26016,LOCKED
60446,110.658,-54410739656957,5534,75583,-31897.2,28510.0,11.0,-0.145,-6034,LOCKED
60447,111.658,-54410739668359,24721,94770,-31874.1,28664.1,10.8,-0.135,12901,LOCKED
60448,112.658,-54410739692527,30003,100052,-31804.9,28923.7,10.5,-0.135,18313,LOCKED
60449,113.658,-54410739718668,32746,102795,-31715.8,29160.8,10.4,-0.136,19134,LOCKED
60450,114.659,-54410739826587,-42406,27643,-31696.8,28831.0,10.4,-0.137,-59132,LOCKED
60451,115.659,-54410739756568,56913,126962,-31673.8,29250.0,10.4,-0.132,-65539,LOCKED
60452,116.658,-54410739876763,-29181,40868,-31744.6,29478.3,10.5,-0.140,-32830,LOCKED
60453,117.658,-54410739894346,-13809,56240,-31781.0,29522.6,10.5,-0.142,-27144,LOCKED
60454,118.658,-54410739913145,-908,69141,-31775.6,29517.8,10.1,-0.145,-10119,LOCKED
60455,119.659,-54410739933703,9210,79259,-31736.8,29492.4,10.0,-0.147,104,LOCKED
60456,120.659,-54410739957253,15575,85624,-31673.2,29434.0,9.6,-0.151,4617,LOCKED
60457,121.659,-54410740003399,127,70176,-31625.4,29203.1,9.8,-0.158,-6521,LOCKED
60458,122.659,-54410740038390,-4115,65934,-31575.5,28870.5,9.8,-0.159,-9209,LOCKED
60459,123.659,-54410740071153,-6616,63433,-31499.9,28083.8,9.5,-0.168,-15836,LOCKED
60460,124.659,-54410740067303,27281,97330,-31473.9,28276.5,9.6,-0.175,22494,LOCKED
60461,125.659,-54410740088952,35289,105338,-31443.3,28576.8,9.4,-0.185,29333,LOCKED
60462,126.659,-54410740130085,24347,94396,-31422.4,28718.2,9.4,-0.186,19068,LOCKED
60463,127.659,-54410740146440,36904,106953,-31360.4,29151.4,9.6,-0.190,30123,LOCKED
60464,128.659,-54410740174785,37314,107363,-31294.5,29588.5,9.8,-0.193,29042,LOCKED
60465,129.659,-54410740210970,30183,100232,-31234.6,29866.2,9.9,-0.193,-85380,LOCKED
60466,130.659,-54410740224756,44043,114092,-31131.6,30393.2,9.9,-0.193,-61435,LOCKED
60467,131.659,-54410740336563,-35002,35047,-31153.4,30609.9,9.9,-0.194,-32155,LOCKED
60468,132.659,-54410740375261,-41188,28861,-31151.6,30583.9,9.7,-0.190,-43617,LOCKED
60469,133.660,-54410740395055,-29467,40582,-31120.3,30168.3,9.8,-0.190,-30141,LOCKED
60470,134.659,-54410740370394,25238,95287,-31109.5,30251.8,9.6,-0.185,29059,LOCKED
60471,135.660,-54410740411648,14396,84445,-31099.2,30292.9,9.5,-0.180,27322,LOCKED
60472,136.660,-54410740452542,3539,73588,-31052.8,30136.8,9.3,-0.174,32890,LOCKED
60473,137.660,-54410740514551,-26427,43622,-31057.5,30177.4,9.5,-0.175,-78807,LOCKED
60474,138.660,-54410740577332,-55320,14729,-31104.4,30856.0,9.6,-0.168,-56695,LOCKED
60475,139.660,-54410740596542,-42152,27897,-31096.8,30740.9,9.6,-0.167,-38052,LOCKED
60476,140.660,-54410740593502,-9021,61028,-31032.3,30129.4,9.7,-0.159,-2700,LOCKED
