# elapsed_s,phase_ns
0.4,-8205195
1.8,-8202400
3.1,-8199195
4.5,-8207190
5.9,-8197190
7.3,-8193595
8.7,-8193600
10.1,-8183995
11.5,-8195980
12.8,-8203400
14.2,-8203595
15.5,-8203185
16.9,-8201840
18.3,-8198045
19.7,-8203195
21.1,-8189995
22.5,-8203195
23.8,-8200795
25.2,-8204790
26.6,-8196790
28.0,-8204795
29.3,-8197990
30.7,-8205590
32.1,-8203596
33.5,-8190395
34.8,-8205995
36.2,-8203951
37.5,-8206395
38.8,-8207990
40.2,-8202795
41.6,-8203990
43.0,-8204390
44.4,-8201195
45.8,-8202395
47.1,-8204000
48.5,-8183595
49.9,-8204952
51.3,-8207195
52.7,-8195195
54.1,-8203195
55.5,-8200963
56.8,-8204867
58.2,-8206400
59.5,-8200790
60.9,35215
62.2,151260
63.6,180034
65.0,207995
66.4,259861
67.8,272800
69.2,323185
70.6,339200
71.9,352800
73.2,369595
74.6,372795
76.0,379200
77.4,392000
78.8,400750
80.2,404795
81.6,401600
82.9,408795
84.3,412790
85.6,417600
87.0,417600
88.3,406390
89.7,407941
91.1,405592
92.5,398390
93.9,391195
95.2,376800
96.6,369590
98.0,361600
99.4,355210
100.8,350390
102.2,336000
103.5,323200
104.9,312000
106.3,290395
107.7,283195
109.1,275190
110.5,252800
111.8,240800
113.1,224800
114.5,218405
115.8,208795
117.2,191996
118.6,184800
120.0,177595
121.3,163190
122.7,156010
124.1,147990
125.5,134395
126.8,127990
128.2,117602
129.5,112790
130.9,111200
132.3,106395
133.7,104000
135.1,100819
136.5,99200
137.9,98405
139.3,95190
140.7,91925
142.1,88805
143.4,82405
144.8,79205
146.1,79209
147.5,73604
148.8,70381
150.2,64005
151.6,60800
152.8,57600
154.2,53600
155.6,50248
157.0,48795
158.4,43200
159.8,45600
161.1,47190
162.5,45595
163.8,43995
165.2,43214
166.5,43195
167.9,40810
169.3,41595
170.7,42964
172.1,43195
173.5,44005
174.8,41600
176.2,43195
177.5,40647
178.9,40000
180.3,36015
181.6,35133
183.0,35331
184.3,35990
185.7,32795
187.1,32806
188.4,32005
189.8,30395
191.2,29585
192.6,28770
194.0,27985
195.3,27200
196.7,27941
198.1,28000
199.4,30507
200.7,31205
202.1,27980
203.5,29610
204.8,30405
206.2,31200
207.6,31995
209.0,31023
210.4,28801
211.8,28795
213.2,22400
214.6,24800
215.9,23995
217.2,18309
218.6,16024
219.9,14960
221.3,12800
222.6,16015
224.0,15210
225.4,12800
226.8,11200
228.2,9605
229.5,11205
230.9,12780
232.3,11190
233.6,9467
235.0,8000
236.4,8810
237.8,8810
239.1,11200
240.5,9605
241.9,8795
243.3,7200
244.7,7195
246.1,9590
247.5,11195
248.8,13595
250.1,10410
251.5,11200
252.8,12000
254.2,9610
255.5,9600
256.9,8795
258.3,11200
259.6,11160
261.0,11205
262.4,13595
263.7,15131
265.1,19200
266.5,17605
267.8,17512
269.2,17605
270.6,17600
272.0,19995
273.3,18400
274.7,18395
276.1,20790
277.4,20805
278.8,19195
280.2,19200
281.5,21590
282.8,22410
284.2,18395
285.6,20005
287.0,19990
288.3,19995
289.7,18355
291.1,15990
292.5,16000
293.8,12797
295.2,14754
296.5,18453
297.9,19970
299.3,16800
300.7,17452
302.1,16853
303.4,17615
304.8,16000
306.2,18400
307.6,16000
308.9,17595
310.3,15200
311.7,14400
313.1,15057
314.5,12638
315.8,14400
317.2,13600
318.6,13610
320.0,13590
321.4,11995
322.8,13600
324.2,10400
325.7,9615
327.1,7996
328.5,6415
329.9,5600
331.2,7990
332.6,7205
334.0,5605
335.4,5600
336.8,5605
338.1,7180
339.5,5580
340.8,4816
342.2,4707
343.6,4000
345.0,6400
